ID;type_code;address;traveller_ID
3d8b1a55-2c6e-4f7a-9b2d-000000000001;H;aarav.sharma@gmail.com;7f3a9c2e-1b4d-4e6a-8c1f-000000000001
3d8b1a55-2c6e-4f7a-9b2d-000000000002;O;+91 98765 43210;7f3a9c2e-1b4d-4e6a-8c1f-000000000001
3d8b1a55-2c6e-4f7a-9b2d-000000000003;H;priya.patel@outlook.com;7f3a9c2e-1b4d-4e6a-8c1f-000000000002
3d8b1a55-2c6e-4f7a-9b2d-000000000004;P;+91 99887 76655;7f3a9c2e-1b4d-4e6a-8c1f-000000000002
3d8b1a55-2c6e-4f7a-9b2d-000000000005;H;james.anderson@gmail.com;7f3a9c2e-1b4d-4e6a-8c1f-000000000003
3d8b1a55-2c6e-4f7a-9b2d-000000000006;O;+1 212 555 0142;7f3a9c2e-1b4d-4e6a-8c1f-000000000003
3d8b1a55-2c6e-4f7a-9b2d-000000000007;H;emily.johnson@yahoo.com;7f3a9c2e-1b4d-4e6a-8c1f-000000000004
3d8b1a55-2c6e-4f7a-9b2d-000000000008;T;+1 415 555 0198;7f3a9c2e-1b4d-4e6a-8c1f-000000000004
3d8b1a55-2c6e-4f7a-9b2d-000000000009;H;liam.mueller@web.de;7f3a9c2e-1b4d-4e6a-8c1f-000000000005
3d8b1a55-2c6e-4f7a-9b2d-000000000010;O;+49 30 12345678;7f3a9c2e-1b4d-4e6a-8c1f-000000000005
3d8b1a55-2c6e-4f7a-9b2d-000000000011;H;sofia.rossi@libero.it;7f3a9c2e-1b4d-4e6a-8c1f-000000000006
3d8b1a55-2c6e-4f7a-9b2d-000000000012;P;+39 06 1234 5678;7f3a9c2e-1b4d-4e6a-8c1f-000000000006
3d8b1a55-2c6e-4f7a-9b2d-000000000013;H;chen.wei@163.com;7f3a9c2e-1b4d-4e6a-8c1f-000000000007
3d8b1a55-2c6e-4f7a-9b2d-000000000014;O;+86 21 5555 1234;7f3a9c2e-1b4d-4e6a-8c1f-000000000007
3d8b1a55-2c6e-4f7a-9b2d-000000000015;H;yuki.tanaka@docomo.jp;7f3a9c2e-1b4d-4e6a-8c1f-000000000008
3d8b1a55-2c6e-4f7a-9b2d-000000000016;T;+81 3 5555 6789;7f3a9c2e-1b4d-4e6a-8c1f-000000000008
3d8b1a55-2c6e-4f7a-9b2d-000000000017;H;olivia.brown@gmail.com;7f3a9c2e-1b4d-4e6a-8c1f-000000000009
3d8b1a55-2c6e-4f7a-9b2d-000000000018;P;+44 20 7946 0958;7f3a9c2e-1b4d-4e6a-8c1f-000000000009
3d8b1a55-2c6e-4f7a-9b2d-000000000019;H;m.alfarsi@emirates.ae;7f3a9c2e-1b4d-4e6a-8c1f-000000000010
3d8b1a55-2c6e-4f7a-9b2d-000000000020;O;+971 4 555 1234;7f3a9c2e-1b4d-4e6a-8c1f-000000000010
